@relation brain_tumor_classification-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-Llast-weka.filters.unsupervised.attribute.Remove-R15-16

@attribute contrast numeric
@attribute correlation numeric
@attribute energy numeric
@attribute homogeneity numeric
@attribute mean numeric
@attribute standard_deviation numeric
@attribute entropy numeric
@attribute rms numeric
@attribute variance numeric
@attribute smoothness numeric
@attribute kurtosis numeric
@attribute skewness numeric
@attribute idm numeric
@attribute label {BENIGN,MALIGNANT}

@data
0.0705,0.8129,0.5579,0.9648,0.0023,0.0898,3.4233,0.0898,0.008,0.8934,6.4591,0.5619,0.9353,MALIGNANT
0.0422,0.7495,0.7911,0.9789,0.0038,0.0897,2.6676,0.0898,0.0081,0.933,12.5142,1.1045,0.2567,MALIGNANT
0.0391,0.8552,0.6921,0.9804,0.0029,0.0898,3.5101,0.0898,0.008,0.9143,5.7658,0.3885,0.3029,MALIGNANT
0.0226,0.7765,0.877,0.9887,0.004,0.0897,3.1567,0.0898,0.0081,0.9375,8.9549,0.7523,0.9047,MALIGNANT
0.00318,0.7688,0.8319,0.9841,0.0052,0.0897,3.094,0.0898,0.008,0.9512,13.4267,1.3008,-0.2179,MALIGNANT
0.0232,0.7515,0.8841,0.9884,0.006,0.0896,3.4645,0.0898,0.008,0.957,11.7111,1.1652,1.4316,MALIGNANT
0.0184,0.8202,0.8797,0.9908,0.0047,0.0897,2.6538,0.0898,0.0081,0.9459,12.5584,1.0021,0.6532,MALIGNANT
0.055,0.8319,0.6211,0.9725,0.0019,0.0898,3.3818,0.0898,0.0081,0.8783,6.1454,0.5665,0.2626,MALIGNANT
0.0271,0.7857,0.847,0.9864,0.0059,0.0896,2.9301,0.0898,0.0081,0.95681,4.4874,1.5407,0.526,MALIGNANT
0.0705,0.8129,0.5579,0.9648,0.0023,0.0898,3.4233,0.0898,0.008,0.8934,6.4591,0.5619,0.9353,MALIGNANT
0.0663,0.752,0.6706,0.9668,0.0034,0.0898,3.4944,0.0898,0.008,0.926,5.7499,0.5129,0.3732,MALIGNANT
0.0363,0.8192,0.7643,0.9819,0.004,0.0897,3.4588,0.0898,0.008,0.9368,8.2826,0.8681,1.6236,MALIGNANT
0.0783,0.8183,0.4968,0.9608,0.0043,0.0897,3.6132,0.0898,0.008,0.9416,5.2914,0.4715,1.9824,MALIGNANT
0.0467,0.8312,0.6789,0.9767,0.0049,0.0897,3.2891,0.0898,0.008,0.9482,9.6588,0.9322,-0.5171,MALIGNANT
0.0241,0.8823,0.7716,0.9879,0.0022,0.0898,3.4436,0.0898,0.008,0.8891,6.3766,0.4351,0.7002,MALIGNANT
0.0882,0.7724,0.5321,0.9559,0.0033,0.0898,3.4226,0.0898,0.008,0.9237,5.6409,0.4848,-1.4367,MALIGNANT
0.0334,0.7936,0.8058,0.9833,0.0042,0.0897,3.2714,0.0898,0.0081,0.9399,9.4527,0.747,-0.1503,MALIGNANT
0.0664,0.7046,0.7134,0.9668,0.0036,0.0897,3.34,0.0898,0.0081,0.9303,6.2338,0.4969,2.8988,MALIGNANT
0.0464,0.8062,0.7166,0.9768,0.0053,0.0897,3.1101,0.0898,0.008,0.9521,7.9334,0.6544,1.1416,MALIGNANT
0.055,0.8319,0.6211,0.9725,0.0019,0.0898,3.3818,0.0898,0.0081,0.8783,6.1454,0.5665,0.2626,MALIGNANT
0.0199,0.8756,0.82,0.99,0.0036,0.0897,3.1499,0.0898,0.0081,0.9309,12.4723,1.163,1.846,MALIGNANT
0.0705,0.8129,0.5579,0.9648,0.0023,0.0898,3.4233,0.0898,0.008,0.8934,6.4591,0.5619,0.9353,MALIGNANT
0.0467,0.8312,0.6789,0.9767,0.0049,0.0897,3.2891,0.0898,0.008,0.9482,9.6588,0.9322,-0.5171,MALIGNANT
0.0332,0.8298,0.7728,0.9834,0.0035,0.0897,3.564,0.0898,0.008,0.9287,6.3083,0.4699,2.5736,MALIGNANT
0.0244,0.8809,0.7712,0.9878,0.0035,0.0897,3.491,0.0898,0.008,0.9283,6.4228,0.4596,1.0986,MALIGNANT
0.0424,0.8402,0.6943,0.9788,0.0028,0.0898,3.6155,0.0898,0.008,0.9113,5.3163,0.3974,0.8888,MALIGNANT
0.0232,0.7515,0.8841,0.9884,0.006,0.0896,3.4645,0.0898,0.008,0.957,11.7111,1.1652,1.4316,MALIGNANT
0.0497,0.8429,0.6365,0.9752,0.0047,0.0897,3.6061,0.0898,0.008,0.9456,6.4958,0.5407,2.0276,MALIGNANT
0.0199,0.8756,0.82,0.99,0.0036,0.0897,3.1499,0.0898,0.0081,0.9309,12.4723,1.163,1.846,MALIGNANT
0.0452,0.8601,0.6339,0.9774,0.0041,0.0897,3.4959,0.0898,0.008,0.939,7.3721,0.596,-0.3592,MALIGNANT
0.0614,0.8177,0.6059,0.9693,0.0046,0.0897,3.6027,0.0898,0.008,0.9448,5.8923,0.6348,0.2051,MALIGNANT
0.0467,0.8312,0.6789,0.9767,0.0049,0.0897,3.2891,0.0898,0.008,0.9482,9.6588,0.9322,-0.5171,MALIGNANT
0.0206,0.6603,0.9192,0.9897,0.004,0.0897,2.6242,0.0898,0.0081,0.9375,18.2647,1.6566,-1.2657,MALIGNANT
0.0531,0.7415,0.7442,0.9734,0.0038,0.0897,2.7008,0.0898,0.0081,0.9336,15.3737,1.3867,0.6525,MALIGNANT
0.0349,0.7584,0.822,0.9826,0.0047,0.0897,2.9452,0.0898,0.0081,0.9459,9.6298,0.8627,1.8211,MALIGNANT
0.0981,0.7568,0.5082,0.951,0.0025,0.0898,3.2493,0.0898,0.008,0.9016,5.9124,0.3855,-0.6123,MALIGNANT
0.0258,0.7871,0.8538,0.9871,0.0038,0.0897,3.1127,0.0898,0.0081,0.9341,7.7887,0.7594,0.4647,MALIGNANT
0.0386,0.6711,0.8456,0.9807,0.0039,0.0897,3.1007,0.0898,0.008,0.9363,8.323,0.8126,0.2697,MALIGNANT
0.0487,0.7486,0.76,0.9757,0.0051,0.0897,3.1454,0.0898,0.0081,0.9495,9.5189,0.9512,0.0802,MALIGNANT
0.0531,0.7415,0.7442,0.9734,0.0038,0.0897,2.7008,0.0898,0.0081,0.9336,15.3737,1.3867,0.6525,MALIGNANT
0.0614,0.8177,0.6059,0.9693,0.0046,0.0897,3.6027,0.0898,0.008,0.9448,5.8923,0.6348,0.2051,MALIGNANT
0.0214,0.796,0.8744,0.9893,0.004,0.0897,3.1937,0.0898,0.008,0.9373,8.5949,0.6095,-0.429,MALIGNANT
0.047,0.7305,0.7809,0.9765,0.0047,0.0897,3.1373,0.0898,0.008,0.946,8.6444,0.7591,0.4922,MALIGNANT
0.0416,0.7478,0.7951,0.9792,0.0039,0.0897,2.6341,0.0898,0.0081,0.9354,15.8015,1.4488,0.7529,MALIGNANT
0.0529,0.8149,0.6643,0.9736,0.0018,0.0898,3.0128,0.0898,0.0081,0.8712,6.9108,0.477,1.9506,MALIGNANT
0.0346,0.7735,0.8137,0.9827,0.0042,0.0897,3.3043,0.0898,0.0081,0.9396,7.1848,0.7672,-0.0731,MALIGNANT
0.0258,0.7871,0.8538,0.9871,0.0038,0.0897,3.1127,0.0898,0.0081,0.9341,7.7887,0.7594,0.4647,MALIGNANT
0.0531,0.7415,0.7442,0.9734,0.0038,0.0897,2.7008,0.0898,0.0081,0.9336,15.3737,1.3867,0.6525,MALIGNANT
0.0356,0.6858,0.8524,0.9822,0.0062,0.0896,3.2125,0.0898,0.008,0.9586,8.496,0.7946,0.3287,MALIGNANT
0.0303,0.7266,0.8598,0.9848,0.0047,0.0897,3.2586,0.0898,0.0081,0.946,8.232,0.694,-0.1622,MALIGNANT
0.0448,0.7882,0.7456,0.9776,0.0039,0.0897,3.1187,0.0898,0.0081,0.9348,7.5831,0.5653,1.3305,MALIGNANT
0.095,0.7647,0.5103,0.9525,0.0055,0.0896,3.3047,0.0898,0.0081,0.953,5.4062,0.4777,0.6291,MALIGNANT
0.0256,0.8374,0.8176,0.9872,0.0053,0.0897,3.5886,0.0898,0.008,0.9517,7.4092,0.702,1.8417,MALIGNANT
0.0307,0.8462,0.7706,0.9846,0.0035,0.0897,3.3384,0.0898,0.008,0.9289,8.3651,0.7363,0.7932,MALIGNANT
0.0528,0.8744,0.5299,0.9736,0.0054,0.0897,3.6839,0.0898,0.008,0.9522,5.5327,0.4131,1.6363,MALIGNANT
0.0395,0.8699,0.6585,0.9803,0.0039,0.0897,3.5886,0.0898,0.008,0.9349,6.5424,0.683,1.4279,MALIGNANT
0.0378,0.8441,0.7213,0.9811,0.0037,0.0897,3.5684,0.0898,0.008,0.9316,5.6068,0.482,1.0286,MALIGNANT
0.0255,0.8183,0.8354,0.9873,0.0039,0.0897,3.3348,0.0898,0.008,0.9355,10.4829,0.8913,1.7159,MALIGNANT
0.0213,0.8679,0.8179,0.9893,0.0048,0.0897,3.21,0.0898,0.0081,0.9473,11.6555,1.1793,2.316,MALIGNANT
0.0378,0.8441,0.7213,0.9811,0.0037,0.0897,3.5684,0.0898,0.008,0.9316,5.6068,0.482,1.0286,MALIGNANT
0.0433,0.8794,0.5998,0.9784,0.0048,0.0897,3.2625,0.0898,0.008,0.9465,5.9412,0.5507,-0.1503,MALIGNANT
0.0264,0.8016,0.8413,0.9868,0.0051,0.0897,3.5655,0.0898,0.008,0.9503,7.5968,0.5597,1.0945,MALIGNANT
0.022,0.7414,0.8933,0.989,0.0059,0.0896,3.2014,0.0898,0.008,0.9563,8.5539,0.846,2.2116,MALIGNANT
0.0245,0.8827,0.7671,0.9877,0.0049,0.0897,3.1789,0.0898,0.0081,0.9479,14.5322,1.3861,0.7101,MALIGNANT
0.0834,0.7917,0.523,0.9583,0.003,0.0898,3.3433,0.0898,0.008,0.9187,6.2956,0.4551,0.493,MALIGNANT
0.0191,0.8004,0.8858,0.9905,0.0053,0.0897,3.4083,0.0898,0.008,0.9514,8.633,0.9161,1.1484,MALIGNANT
