contrast,correlation,energy,homogeneity,mean,standard_deviation,entropy,rms,variance,smoothness,kurtosis,skewness,idm,label
0.0271,0.7857,0.8470,0.9864,0.0059,0.0896,2.9301,0.0898,0.0081,0.95681,4.4874,1.5407,0.5260,MALIGNANT
0.0705,0.8129,0.5579,0.9648,0.0023,0.0898,3.4233,0.0898,0.0080,0.8934,6.4591,0.5619,0.9353,MALIGNANT
0.0663,0.7520,0.6706,0.9668,0.0034,0.0898,3.4944,0.0898,0.0080,0.9260,5.7499,0.5129,0.3732,MALIGNANT
0.0429,0.8181,0.7230,0.9785,0.0028,0.0898,2.8528,0.0898,0.0080,0.9111,25.9377,2.2540,2.8616,MALIGNANT
0.0363,0.8192,0.7643,0.9819,0.0040,0.0897,3.4588,0.0898,0.0080,0.9368,8.2826,0.8681,1.6236,MALIGNANT
0.0175,0.8995,0.8083,0.9912,0.0047,0.0897,2.4532,0.0898,0.0081,0.9458,31.9286,2.9051,2.3453,MALIGNANT
0.0028,0.9282,0.9580,0.9986,0.0053,0.0897,1.2322,0.0898,0.0081,0.9516,60.0395,5.3509,4.6313,MALIGNANT
0.0783,0.8183,0.4968,0.9608,0.0043,0.0897,3.6132,0.0898,0.0080,0.9416,5.2914,0.4715,1.9824,MALIGNANT
0.0467,0.8312,0.6789,0.9767,0.0049,0.0897,3.2891,0.0898,0.0080,0.9482,9.6588,0.9322,-0.5171,MALIGNANT
0.0241,0.8823,0.7716,0.9879,0.0022,0.0898,3.4436,0.0898,0.0080,0.8891,6.3766,0.4351,0.7002,MALIGNANT
0.0882,0.7724,0.5321,0.9559,0.0033,0.0898,3.4226,0.0898,0.0080,0.9237,5.6409,0.4848,-1.4367,MALIGNANT
0.0334,0.7936,0.8058,0.9833,0.0042,0.0897,3.2714,0.0898,0.0081,0.9399,9.4527,0.7470,-0.1503,MALIGNANT
0.0664,0.7046,0.7134,0.9668,0.0036,0.0897,3.3400,0.0898,0.0081,0.9303,6.2338,0.4969,2.8988,MALIGNANT
0.0464,0.8062,0.7166,0.9768,0.0053,0.0897,3.1101,0.0898,0.0080,0.9521,7.9334,0.6544,1.1416,MALIGNANT
0.0550,0.8319,0.6211,0.9725,0.0019,0.0898,3.3818,0.0898,0.0081,0.8783,6.1454,0.5665,0.2626,MALIGNANT
0.0199,0.8756,0.8200,0.9900,0.0036,0.0897,3.1499,0.0898,0.0081,0.9309,12.4723,1.1630,1.8460,MALIGNANT
0.0705,0.8129,0.5579,0.9648,0.0023,0.0898,3.4233,0.0898,0.0080,0.8934,6.4591,0.5619,0.9353,MALIGNANT
0.0101,0.9355,0.8342,0.9950,0.0053,0.0897,1.9682,0.0898,0.0081,0.9513,40.8052,3.7125,3.6094,MALIGNANT
